,min_timestamp,max_timestamp,med_timestamp,mean_timestamp,min_gas,max_gas,med_gas,mean_gas,out_count,min_outgoing_priceETH,max_outgoing_priceETH,med_outgoing_priceETH,mean_outgoing_priceETH,in_count,min_incoming_priceETH,max_incoming_priceETH,med_incoming_priceETH,mean_incoming_priceETH,address,label
45073,1.6487515e+18,1.649229053e+18,1.6489902765e+18,1.6489902765e+18,194996.0,724358.0,459677.0,459677.0,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x9cd21051db883aff4db09525778b7fb8f262db26,None
16758,1.649011544e+18,1.649363816e+18,1.649012826e+18,1.6491293953333332e+18,188765.0,201118.0,201094.0,196992.328125,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x3ac3d77570e843cdc975bdeeab775fe6f3fa5d40,None
38013,1.649370943e+18,1.649370943e+18,1.649370943e+18,1.649370943e+18,169818.0,169818.0,169818.0,169818.0,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,0x84d57d4ef69e5d1ad4eff3e31d00bce7cfff8cad,None
10424,1.648818237e+18,1.648818237e+18,1.648818237e+18,1.648818237e+18,62459.0,62459.0,62459.0,62459.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x247fd9f1b30eaa878bf2c5a691dc9228e554bb11,None
60016,1.649509471e+18,1.649509471e+18,1.649509471e+18,1.649509471e+18,200913.0,200913.0,200913.0,200913.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xd0b58e1b32f6f3bea6118be5bc04a5d98e91f6f4,None
48109,1.648942721e+18,1.649115768e+18,1.649056366e+18,1.6490382850000003e+18,187575.0,364887.0,199822.0,250761.328125,3.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xa77356040faab7de650852b149c256cf98f27482,None
54075,1.648931371e+18,1.648931371e+18,1.648931371e+18,1.648931371e+18,201895.0,201895.0,201895.0,201895.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xbc50ea432c1c7675c4ce02ab14a04b4ab1f0dcbc,None
80624,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x2b2860d26e33e12559f0a6c6c7fae712cf6f8249,None
67517,1.648919733e+18,1.648919733e+18,1.648919733e+18,1.648919733e+18,52510.0,52510.0,52510.0,52510.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0xeadadbca248db39f6c6718c0729c948a8d8467f6,None
11997,1.649379066e+18,1.649379066e+18,1.649379066e+18,1.649379066e+18,169830.0,169830.0,169830.0,169830.0,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,0x2a437c2a36bb8a1836427f4322e8832c2516c811,None
86773,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x506a0e97bd1ea8e9636c486e95c6c661b39e358e,None
90032,,,,,,,,,,,,,,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x64f557034da99a07cb8941cff8347fa8c5bcdf51,None
97476,,,,,,,,,,,,,,2.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x941d53ed3ea3fc57d3f5374949eeb51c415d4e66,None
71249,1.649014492e+18,1.649014492e+18,1.649014492e+18,1.649014492e+18,199524.0,199524.0,199524.0,199524.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0xf7b2e9541ff6eaf49bc68bf3c878c2cf3de0dda2,None
43576,1.648886062e+18,1.648886062e+18,1.648886062e+18,1.648886062e+18,224489.0,224489.0,224489.0,224489.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,,,,,,0x97867697c8b0986ed755f07634302d817cfd4ba3,None
14466,1.648703374e+18,1.648703374e+18,1.648703374e+18,1.648703374e+18,179429.0,179429.0,179429.0,179429.0,1.0,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,2.00000009162741e-18,,,,,,0x32fbc8f6043984bbb02e7e636d1187b33a967adf,None
3457,1.648599306e+18,1.648599306e+18,1.648599306e+18,1.648599306e+18,52498.0,52498.0,52498.0,52498.0,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.0,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,1.000000045813705e-18,0x0bfff40545a2250c3f11993e7b75dbbcb11e36ac,None
